Altium Designer Pick and Place Locations
B:\New folder\FREE UP&FI\UP\SAHITH\12S-24SBMS\24S_BMS\Project Outputs for 24S_BMS\08_Pick and Place\Pick Place\Pick Place for 24S_BMS.csv

========================================================================================================================
File Design Information:

Date:       13-08-23
Time:       00:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Value"
"R91","Res_1","TopLayer","RESC0603","14.3512","0.6350","270","Thick Film Resistor -  1Mohm, 1%, 0603","1M"
"D7","1N4148WS","TopLayer","SOD-323","12.5730","0.8800","270","100V 550mW Single 1.25V@150mA 4ns 250mA SOD-323F Switching Diode ROHS",""
"R22","Res_1","TopLayer","RESC0603","30.6071","5.7147","180","Thick Film Resistor -  10ohm, 1%, 0603","100E"
"R21","Res_1","TopLayer","RESC0603","30.6070","7.0705","0","Thick Film Resistor -  10ohm, 1%, 0603","100E"
"R90","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","79.8117","5.7152","0","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  10Kohm, 1%, 0603","10K"
"R89","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","79.8117","4.3602","0","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  10Mohm, 1%, 0603","10M"
"R88","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","79.8117","8.4253","0","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  10Mohm, 1%, 0603","10M"
"R77","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","91.9480","-0.2346","180","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  0ohm, 1%, 0603","0E"
"R63","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","96.3930","6.4023","270","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  0ohm, 1%, 0603","0E"
"R60","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","79.5528","-0.2346","180","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  0ohm, 1%, 0603","0E"
"R43","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","67.0630","-0.2346","180","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  0ohm, 1%, 0603","0E"
"R26","RES_TRIPAD","TopLayer","RESC0603_TRIPAD","53.4670","-0.2346","180","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  0ohm, 1%, 0603","0E"
